origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
w68093840,SP7_CHOJNICE,13.4328748,4.3197363,19.9707363,37.7233474
w68093841,SP7_CHOJNICE,15.7866931,15.2542413,19.9707363,51.0116707
w274666382,SP7_CHOJNICE,37.9267719,9.076057,19.9707363,66.9735652
w274666380,SP7_CHOJNICE,21.6050557,46.834567,19.9707363,88.410359
w82620236,SP7_CHOJNICE,14.1722223,88.1580385,19.9707363,122.300997
w82616462,SP7_CHOJNICE,11.7172071,107.6296716,19.9707363,139.317615
w82620304,SP7_CHOJNICE,14.0000848,106.1106844,19.9707363,140.0815055
w82620310,SP7_CHOJNICE,13.7994416,108.1648241,19.9707363,141.9350019
w82616471,SP7_CHOJNICE,18.0374398,114.7391937,19.9707363,152.7473698
w82616453,SP7_CHOJNICE,14.4429759,120.7346325,19.9707363,155.1483447
w82620250,SP7_CHOJNICE,14.6260485,122.5633556,19.9707363,157.1601404
w82616447,SP7_CHOJNICE,16.1147355,122.7867405,19.9707363,158.8722123
w82620265,SP7_CHOJNICE,20.4624255,121.603682,19.9707363,162.0368438
w82616452,SP7_CHOJNICE,14.4742732,135.6560396,19.9707363,170.1010491
w82620257,SP7_CHOJNICE,17.495046,144.5734497,19.9707363,182.039232
w82616454,SP7_CHOJNICE,16.802808,146.6256897,19.9707363,183.3992339
w82616474,SP7_CHOJNICE,14.4040367,151.0167552,19.9707363,185.3915282
w69619937,SP7_CHOJNICE,13.6694979,155.3795871,19.9707363,189.0198213
w82616477,SP7_CHOJNICE,27.1610965,142.4888374,19.9707363,189.6206701
w69613573,SP7_CHOJNICE,15.224772,157.826343,19.9707363,193.0218512
w82616457,SP7_CHOJNICE,27.6677251,146.0762305,19.9707363,193.7146919
w82616469,SP7_CHOJNICE,32.4838934,147.0649292,19.9707363,199.5195589
w82616449,SP7_CHOJNICE,14.4585117,166.6139085,19.9707363,201.0431565
w814770543,SP7_CHOJNICE,13.0346728,171.4531685,19.9707363,204.4585776
